
Predictions were generated on 20-Aug-2026 at 20:12:23 using HydroDyn Driver, compiled on Jul 05 2026 at 14:20:01 as a 64-bit application using single precision at commit Unversioned from 02847314dfdc4069d70b8b493e37b12b810a11e2
 linked with  NWTC Subroutine Library

Description from the driver input file: File for NRELOffshrBsline5MW_OC4DeepCwindSemi_HydroDyn

Time	Wave1Elev	Wave1Elv1	Wave1Elv2	PRPSurge	PRPSway	PRPHeave	PRPRoll	PRPPitch	PRPYaw	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	PRPTVxi	PRPTVyi	PRPTVzi	PRPRVxi	PRPRVyi	PRPRVzi	PRPTAxi	PRPTAyi	PRPTAzi	PRPRAxi	PRPRAyi	PRPRAzi	B1WvsFxi	B1HdSFxi	B1RdtFxi	B2WvsFxi	B2HdSFxi	B2RdtFxi	B3WvsFxi	B3HdSFxi	B3RdtFxi	B4WvsFxi	B4HdSFxi	B4RdtFxi	B5WvsFxi	B5HdSFxi	B5RdtFxi
    0.0900	  -7.950850E-01	  -7.950850E-01	   0.000000E+00	   2.265709E-04	  -1.056055E-04	  -2.400022E-03	  -2.331582E-06	   3.157541E-06	   2.412858E-05	   3.690879E+06	  -9.304191E+05	   2.781219E+08	  -1.571914E+07	  -9.672286E+07	   4.464409E+07	   4.049311E-03	  -2.556078E-03	  -3.013995E-02	  -4.106101E-05	   4.267341E-06	   3.330232E-04	   4.726696E-02	  -2.202966E-02	  -1.024406E-03	  -3.080876E-04	  -2.855907E-03	  -2.801859E-02	   1.287563E+06	   0.000000E+00	   0.000000E+00	   1.015746E+06	   0.000000E+00	   0.000000E+00	   7.863029E+05	   0.000000E+00	   0.000000E+00	  -4.756902E+06	   0.000000E+00	   0.000000E+00	   1.254796E+05	   0.000000E+00	   0.000000E+00
    0.1000	  -7.876005E-01	  -7.876005E-01	   0.000000E+00	   2.689785E-04	  -1.322404E-04	  -2.702442E-03	  -2.754772E-06	   3.155802E-06	   2.739476E-05	   3.709510E+06	  -9.345534E+05	   2.781316E+08	  -1.577372E+07	  -9.761267E+07	   4.487085E+07	   4.432216E-03	  -2.770889E-03	  -3.034401E-02	  -4.357695E-05	  -4.617284E-06	   3.202134E-04	   2.931389E-02	  -2.093249E-02	  -3.978744E-02	  -1.951076E-04	   1.078982E-03	   2.545662E-02	   1.287249E+06	   0.000000E+00	   0.000000E+00	   1.022454E+06	   0.000000E+00	   0.000000E+00	   7.965228E+05	   0.000000E+00	   0.000000E+00	  -4.750136E+06	   0.000000E+00	   0.000000E+00	   1.303014E+05	   0.000000E+00	   0.000000E+00
    0.1100	  -7.801161E-01	  -7.801161E-01	   0.000000E+00	   3.152853E-04	  -1.609704E-04	  -3.007018E-03	  -3.204247E-06	   3.071210E-06	   3.065754E-05	   3.728196E+06	  -9.384101E+05	   2.781413E+08	  -1.582381E+07	  -9.850510E+07	   4.492971E+07	   4.829127E-03	  -2.975123E-03	  -3.057126E-02	  -4.631753E-05	  -1.230375E-05	   3.323435E-04	   5.006843E-02	  -1.991437E-02	  -5.662678E-03	  -3.530015E-04	  -2.616276E-03	  -2.303060E-02	   1.286936E+06	   0.000000E+00	   0.000000E+00	   1.029159E+06	   0.000000E+00	   0.000000E+00	   8.067435E+05	   0.000000E+00	   0.000000E+00	  -4.743370E+06	   0.000000E+00	   0.000000E+00	   1.351226E+05	   0.000000E+00	   0.000000E+00
    0.1200	  -7.726315E-01	  -7.726315E-01	   0.000000E+00	   3.656486E-04	  -1.916715E-04	  -3.313909E-03	  -3.682595E-06	   2.907588E-06	   3.392794E-05	   3.746773E+06	  -9.425629E+05	   2.781511E+08	  -1.587706E+07	  -9.939488E+07	   4.514145E+07	   5.243547E-03	  -3.165100E-03	  -3.080687E-02	  -4.935086E-05	  -2.042383E-05	   3.217375E-04	   3.281549E-02	  -1.808114E-02	  -4.145931E-02	  -2.536708E-04	   9.922608E-04	   2.090941E-02	   1.286622E+06	   0.000000E+00	   0.000000E+00	   1.035865E+06	   0.000000E+00	   0.000000E+00	   8.169612E+05	   0.000000E+00	   0.000000E+00	  -4.736605E+06	   0.000000E+00	   0.000000E+00	   1.399435E+05	   0.000000E+00	   0.000000E+00
    0.1300	  -7.651470E-01	  -7.651470E-01	   0.000000E+00	   4.202077E-04	  -2.242341E-04	  -3.623256E-03	  -4.192068E-06	   2.666251E-06	   3.719574E-05	   3.765390E+06	  -9.464850E+05	   2.781609E+08	  -1.592598E+07	  -1.002867E+08	   4.521422E+07	   5.668274E-03	  -3.347414E-03	  -3.106268E-02	  -5.254211E-05	  -2.784715E-05	   3.318219E-04	   5.212981E-02	  -1.838157E-02	  -9.701280E-03	  -3.845727E-04	  -2.476925E-03	  -1.889254E-02	   1.286308E+06	   0.000000E+00	   0.000000E+00	   1.042571E+06	   0.000000E+00	   0.000000E+00	   8.271789E+05	   0.000000E+00	   0.000000E+00	  -4.729839E+06	   0.000000E+00	   0.000000E+00	   1.447645E+05	   0.000000E+00	   0.000000E+00
    0.1400	  -7.576625E-01	  -7.576625E-01	   0.000000E+00	   4.790871E-04	  -2.585686E-04	  -3.935212E-03	  -4.734911E-06	   2.349455E-06	   4.047047E-05	   3.783932E+06	  -9.506478E+05	   2.781707E+08	  -1.597831E+07	  -1.011758E+08	   4.541288E+07	   6.107609E-03	  -3.519492E-03	  -3.132837E-02	  -5.602407E-05	  -3.551622E-05	   3.231251E-04	   3.573726E-02	  -1.603411E-02	  -4.343805E-02	  -3.118249E-04	   9.431124E-04	   1.715318E-02	   1.285993E+06	   0.000000E+00	   0.000000E+00	   1.049277E+06	   0.000000E+00	   0.000000E+00	   8.373945E+05	   0.000000E+00	   0.000000E+00	  -4.723073E+06	   0.000000E+00	   0.000000E+00	   1.495851E+05	   0.000000E+00	   0.000000E+00
    0.1500	  -7.501780E-01	  -7.501780E-01	   0.000000E+00	   5.423986E-04	  -2.945931E-04	  -4.249902E-03	  -5.313233E-06	   1.958125E-06	   4.374411E-05	   3.802498E+06	  -9.546159E+05	   2.781806E+08	  -1.602685E+07	  -1.020664E+08	   4.549667E+07	   6.554681E-03	  -3.685392E-03	  -3.160962E-02	  -5.963680E-05	  -4.275479E-05	   3.316024E-04	   5.367727E-02	  -1.714573E-02	  -1.281084E-02	  -4.107161E-04	  -2.390826E-03	  -1.545772E-02	   1.285678E+06	   0.000000E+00	   0.000000E+00	   1.055982E+06	   0.000000E+00	   0.000000E+00	   8.476101E+05	   0.000000E+00	   0.000000E+00	  -4.716308E+06	   0.000000E+00	   0.000000E+00	   1.544057E+05	   0.000000E+00	   0.000000E+00
    0.1600	  -7.426934E-01	  -7.426934E-01	   0.000000E+00	   6.102434E-04	  -3.322391E-04	  -4.567441E-03	  -5.928918E-06	   1.493688E-06	   4.702432E-05	   3.821014E+06	  -9.587803E+05	   2.781906E+08	  -1.607755E+07	  -1.029552E+08	   4.568512E+07	   7.014273E-03	  -3.843817E-03	  -3.189823E-02	  -6.349615E-05	  -5.013818E-05	   3.244406E-04	   3.824108E-02	  -1.453929E-02	  -4.491170E-02	  -3.611597E-04	   9.141472E-04	   1.402537E-02	   1.285364E+06	   0.000000E+00	   0.000000E+00	   1.062688E+06	   0.000000E+00	   0.000000E+00	   8.578252E+05	   0.000000E+00	   0.000000E+00	  -4.709542E+06	   0.000000E+00	   0.000000E+00	   1.592260E+05	   0.000000E+00	   0.000000E+00
    0.1700	  -7.352089E-01	  -7.352089E-01	   0.000000E+00	   6.827159E-04	  -3.714437E-04	  -4.887913E-03	  -6.583784E-06	   9.568420E-07	   5.030486E-05	   3.839546E+06	  -9.627857E+05	   2.782005E+08	  -1.612530E+07	  -1.038447E+08	   4.577726E+07	   7.480223E-03	  -3.997103E-03	  -3.219632E-02	  -6.747179E-05	  -5.723736E-05	   3.316682E-04	   5.494881E-02	  -1.611805E-02	  -1.470550E-02	  -4.339624E-04	  -2.333983E-03	  -1.257985E-02	   1.285050E+06	   0.000000E+00	   0.000000E+00	   1.069393E+06	   0.000000E+00	   0.000000E+00	   8.680379E+05	   0.000000E+00	   0.000000E+00	  -4.702778E+06	   0.000000E+00	   0.000000E+00	   1.640464E+05	   0.000000E+00	   0.000000E+00
    0.1800	  -7.277244E-01	  -7.277244E-01	   0.000000E+00	   7.599033E-04	  -4.121539E-04	  -5.211378E-03	  -7.279404E-06	   3.485544E-07	   5.359270E-05	   3.858034E+06	  -9.669505E+05	   2.782105E+08	  -1.617467E+07	  -1.047326E+08	   4.595614E+07	   7.957273E-03	  -4.144939E-03	  -3.249671E-02	  -7.164574E-05	  -6.442738E-05	   3.258978E-04	   4.046132E-02	  -1.344913E-02	  -4.537328E-02	  -4.008345E-04	   8.959781E-04	   1.142576E-02	   1.284735E+06	   0.000000E+00	   0.000000E+00	   1.076097E+06	   0.000000E+00	   0.000000E+00	   8.782508E+05	   0.000000E+00	   0.000000E+00	  -4.696012E+06	   0.000000E+00	   0.000000E+00	   1.688662E+05	   0.000000E+00	   0.000000E+00
    0.1900	  -7.202400E-01	  -7.202400E-01	   0.000000E+00	   8.418891E-04	  -4.543211E-04	  -5.537859E-03	  -8.017301E-06	  -3.306583E-07	   5.688338E-05	   3.876546E+06	  -9.709801E+05	   2.782204E+08	  -1.622144E+07	  -1.056209E+08	   4.605441E+07	   8.439893E-03	  -4.288495E-03	  -3.279942E-02	  -7.592625E-05	  -7.142331E-05	   3.322394E-04	   5.606259E-02	  -1.526203E-02	  -1.516962E-02	  -4.552605E-04	  -2.295163E-03	  -1.015743E-02	   1.284420E+06	   0.000000E+00	   0.000000E+00	   1.082802E+06	   0.000000E+00	   0.000000E+00	   8.884624E+05	   0.000000E+00	   0.000000E+00	  -4.689248E+06	   0.000000E+00	   0.000000E+00	   1.736863E+05	   0.000000E+00	   0.000000E+00
    0.2000	  -7.127553E-01	  -7.127553E-01	   0.000000E+00	   9.287514E-04	  -4.979040E-04	  -5.867347E-03	  -8.798799E-06	  -1.080123E-06	   6.018307E-05	   3.895018E+06	  -9.751458E+05	   2.782304E+08	  -1.626997E+07	  -1.065073E+08	   4.622490E+07	   8.932563E-03	  -4.428091E-03	  -3.309812E-02	  -8.036464E-05	  -7.847883E-05	   3.276984E-04	   4.247148E-02	  -1.265722E-02	  -4.456894E-02	  -4.324223E-04	   8.840602E-04	   9.249229E-03	   1.284106E+06	   0.000000E+00	   0.000000E+00	   1.089506E+06	   0.000000E+00	   0.000000E+00	   8.986726E+05	   0.000000E+00	   0.000000E+00	  -4.682484E+06	   0.000000E+00	   0.000000E+00	   1.785055E+05	   0.000000E+00	   0.000000E+00
    0.2100	  -7.052710E-01	  -7.052710E-01	   0.000000E+00	   1.020566E-03	  -5.428652E-04	  -6.199796E-03	  -9.625177E-06	  -1.899468E-06	   6.348811E-05	   3.913507E+06	  -9.791946E+05	   2.782403E+08	  -1.631616E+07	  -1.073945E+08	   4.632816E+07	   9.430350E-03	  -4.564138E-03	  -3.339159E-02	  -8.490080E-05	  -8.540034E-05	   3.333095E-04	   5.708584E-02	  -1.455205E-02	  -1.412570E-02	  -4.748053E-04	  -2.268363E-03	  -8.127000E-03	   1.283791E+06	   0.000000E+00	   0.000000E+00	   1.096210E+06	   0.000000E+00	   0.000000E+00	   9.088830E+05	   0.000000E+00	   0.000000E+00	  -4.675720E+06	   0.000000E+00	   0.000000E+00	   1.833250E+05	   0.000000E+00	   0.000000E+00
    0.2200	  -6.977864E-01	  -6.977864E-01	   0.000000E+00	   1.117404E-03	  -5.891726E-04	  -6.535125E-03	  -1.049755E-05	  -2.788235E-06	   6.680368E-05	   3.931966E+06	  -9.833580E+05	   2.782502E+08	  -1.636370E+07	  -1.082795E+08	   4.649169E+07	   9.937303E-03	  -4.697351E-03	  -3.367440E-02	  -8.956210E-05	  -9.236455E-05	   3.298042E-04	   4.430480E-02	  -1.209053E-02	  -4.243559E-02	  -4.574596E-04	   8.755206E-04	   7.425928E-03	   1.283476E+06	   0.000000E+00	   0.000000E+00	   1.102915E+06	   0.000000E+00	   0.000000E+00	   9.190919E+05	   0.000000E+00	   0.000000E+00	  -4.668957E+06	   0.000000E+00	   0.000000E+00	   1.881443E+05	   0.000000E+00	   0.000000E+00
    0.2300	  -6.903018E-01	  -6.903018E-01	   0.000000E+00	   1.219337E-03	  -6.367977E-04	  -6.873223E-03	  -1.141698E-05	  -3.746150E-06	   7.012695E-05	   3.950437E+06	  -9.874233E+05	   2.782600E+08	  -1.640936E+07	  -1.091651E+08	   4.659871E+07	   1.044914E-02	  -4.827675E-03	  -3.394505E-02	  -9.431120E-05	  -9.923107E-05	   3.348475E-04	   5.806322E-02	  -1.397430E-02	  -1.169414E-02	  -4.923560E-04	  -2.248825E-03	  -6.417274E-03	   1.283161E+06	   0.000000E+00	   0.000000E+00	   1.109619E+06	   0.000000E+00	   0.000000E+00	   9.293001E+05	   0.000000E+00	   0.000000E+00	  -4.662195E+06	   0.000000E+00	   0.000000E+00	   1.929633E+05	   0.000000E+00	   0.000000E+00
    0.2400	  -6.828174E-01	  -6.828174E-01	   0.000000E+00	   1.326429E-03	  -6.857163E-04	  -7.213943E-03	  -1.238441E-05	  -4.772904E-06	   7.346263E-05	   3.968883E+06	  -9.915819E+05	   2.782699E+08	  -1.645578E+07	  -1.100491E+08	   4.675586E+07	   1.096943E-02	  -4.956044E-03	  -3.419892E-02	  -9.915933E-05	  -1.061335E-04	   3.322891E-04	   4.599448E-02	  -1.169957E-02	  -3.908050E-02	  -4.772766E-04	   8.683438E-04	   5.905606E-03	   1.282847E+06	   0.000000E+00	   0.000000E+00	   1.116323E+06	   0.000000E+00	   0.000000E+00	   9.395078E+05	   0.000000E+00	   0.000000E+00	  -4.655432E+06	   0.000000E+00	   0.000000E+00	   1.977820E+05	   0.000000E+00	   0.000000E+00
    0.2500	  -6.753329E-01	  -6.753329E-01	   0.000000E+00	   1.438749E-03	  -7.359071E-04	  -7.557113E-03	  -1.340071E-05	  -5.868294E-06	   7.680873E-05	   3.987343E+06	  -9.956583E+05	   2.782796E+08	  -1.650093E+07	  -1.109325E+08	   4.686570E+07	   1.149445E-02	  -5.082115E-03	  -3.443509E-02	  -1.040852E-04	  -1.129599E-04	   3.369307E-04	   5.900906E-02	  -1.351454E-02	  -8.154409E-03	  -5.078949E-04	  -2.233628E-03	  -4.977286E-03	   1.282532E+06	   0.000000E+00	   0.000000E+00	   1.123027E+06	   0.000000E+00	   0.000000E+00	   9.497151E+05	   0.000000E+00	   0.000000E+00	  -4.648672E+06	   0.000000E+00	   0.000000E+00	   2.026005E+05	   0.000000E+00	   0.000000E+00
    0.2600	  -6.678484E-01	  -6.678484E-01	   0.000000E+00	   1.556358E-03	  -7.873523E-04	  -7.902537E-03	  -1.446668E-05	  -7.032084E-06	   8.016940E-05	   4.005773E+06	  -9.998118E+05	   2.782893E+08	  -1.654648E+07	  -1.118148E+08	   4.701741E+07	   1.202740E-02	  -5.206910E-03	  -3.464993E-02	  -1.090898E-04	  -1.198148E-04	   3.352014E-04	   4.758069E-02	  -1.144465E-02	  -3.481387E-02	  -4.930272E-04	   8.626449E-04	   4.631421E-03	   1.282217E+06	   0.000000E+00	   0.000000E+00	   1.129730E+06	   0.000000E+00	   0.000000E+00	   9.599209E+05	   0.000000E+00	   0.000000E+00	  -4.641912E+06	   0.000000E+00	   0.000000E+00	   2.074190E+05	   0.000000E+00	   0.000000E+00
    0.2700	  -6.603638E-01	  -6.603638E-01	   0.000000E+00	   1.679320E-03	  -8.400364E-04	  -8.250005E-03	  -1.558304E-05	  -8.264120E-06	   8.354300E-05	   4.024216E+06	  -1.003896E+06	   2.782989E+08	  -1.659076E+07	  -1.126965E+08	   4.712934E+07	   1.256495E-02	  -5.329920E-03	  -3.484338E-02	  -1.141621E-04	  -1.266106E-04	   3.395166E-04	   5.992986E-02	  -1.315730E-02	  -3.875326E-03	  -5.214272E-04	  -2.221796E-03	  -3.768377E-03	   1.281902E+06	   0.000000E+00	   0.000000E+00	   1.136433E+06	   0.000000E+00	   0.000000E+00	   9.701262E+05	   0.000000E+00	   0.000000E+00	  -4.635152E+06	   0.000000E+00	   0.000000E+00	   2.122372E+05	   0.000000E+00	   0.000000E+00
    0.2800	  -6.528794E-01	  -6.528794E-01	   0.000000E+00	   1.807695E-03	  -8.939470E-04	  -8.599287E-03	  -1.675044E-05	  -9.564190E-06	   8.693311E-05	   4.042642E+06	  -1.008046E+06	   2.783085E+08	  -1.663569E+07	  -1.135771E+08	   4.727627E+07	   1.311001E-02	  -5.452192E-03	  -3.501320E-02	  -1.192965E-04	  -1.334234E-04	   3.385032E-04	   4.908237E-02	  -1.129700E-02	  -3.008847E-02	  -5.054614E-04	   8.592304E-04	   3.565701E-03	   1.281588E+06	   0.000000E+00	   0.000000E+00	   1.143137E+06	   0.000000E+00	   0.000000E+00	   9.803310E+05	   0.000000E+00	   0.000000E+00	  -4.628394E+06	   0.000000E+00	   0.000000E+00	   2.170551E+05	   0.000000E+00	   0.000000E+00
    0.2900	  -6.453949E-01	  -6.453949E-01	   0.000000E+00	   1.941543E-03	  -9.490736E-04	  -8.950154E-03	  -1.796949E-05	  -1.093213E-05	   9.033854E-05	   4.061078E+06	  -1.012134E+06	   2.783179E+08	  -1.667911E+07	  -1.144571E+08	   4.739000E+07	   1.365965E-02	  -5.573133E-03	  -3.516030E-02	  -1.244884E-04	  -1.401863E-04	   3.425805E-04	   6.084586E-02	  -1.289126E-02	   6.680859E-04	  -5.329094E-04	  -2.211803E-03	  -2.750244E-03	   1.281273E+06	   0.000000E+00	   0.000000E+00	   1.149840E+06	   0.000000E+00	   0.000000E+00	   9.905352E+05	   0.000000E+00	   0.000000E+00	  -4.621636E+06	   0.000000E+00	   0.000000E+00	   2.218732E+05	   0.000000E+00	   0.000000E+00
    0.3000	  -6.379102E-01	  -6.379102E-01	   0.000000E+00	   2.080923E-03	  -1.005408E-03	  -9.302376E-03	  -1.924071E-05	  -1.236773E-05	   9.376255E-05	   4.079495E+06	  -1.016280E+06	   2.783274E+08	  -1.672346E+07	  -1.153360E+08	   4.753257E+07	   1.421642E-02	  -5.693770E-03	  -3.528395E-02	  -1.297286E-04	  -1.469567E-04	   3.422179E-04	   5.050655E-02	  -1.123599E-02	  -2.539694E-02	  -5.151406E-04	   8.577141E-04	   2.677712E-03	   1.280958E+06	   0.000000E+00	   0.000000E+00	   1.156543E+06	   0.000000E+00	   0.000000E+00	   1.000738E+06	   0.000000E+00	   0.000000E+00	  -4.614880E+06	   0.000000E+00	   0.000000E+00	   2.266907E+05	   0.000000E+00	   0.000000E+00
